datetime	block	trial	trial_type	setSize	RT	accuracy	timeout	clickedObject	Targ_X	Targ_Y	Click_X	Click_Y	target_start_color	target_end_color
2017-04-13 10:24:00.023000	1	1	noChange	8	0.700775156244	1	0	noChange	-191.443703514	191.443703514	920	333	green	green
2017-04-13 10:24:03.122000	1	2	change	8	0.697369247551	0	0	noChange	191.443703514	37.9311105419	933	307	yellow	black
2017-04-13 10:24:06.307000	1	3	noChange	8	0.753596300467	1	0	noChange	37.9311105419	-191.443703514	902	259	magenta	magenta
2017-04-13 10:24:09.388000	1	4	noChange	8	0.696391321502	1	0	noChange	37.9311105419	114.687407028	920	265	black	black
2017-04-13 10:24:12.452000	1	5	noChange	8	0.637661566151	1	0	noChange	-37.9311105419	-114.687407028	923	240	magenta	magenta
2017-04-13 10:24:15.498000	1	6	noChange	8	0.618273422704	1	0	noChange	-37.9311105419	191.443703514	950	262	black	black
2017-04-13 10:24:18.543000	1	7	change	8	0.67132077904	1	0	change	-37.9311105419	-37.9311105419	-960	248	black	yellow
2017-04-13 10:24:21.655000	1	8	noChange	8	0.700436864446	1	0	noChange	191.443703514	114.687407028	936	251	red	red
2017-04-13 10:24:24.792000	1	9	noChange	8	0.70062653776	1	0	noChange	-37.9311105419	37.9311105419	947	261	blue	blue
2017-04-13 10:24:27.884000	1	10	noChange	8	0.694640743552	1	0	noChange	37.9311105419	191.443703514	941	253	blue	blue
2017-04-13 10:24:31.373000	1	11	change	8	1.05645901271	1	0	change	-114.687407028	-37.9311105419	-930	240	red	black
2017-04-13 10:24:34.642000	1	12	change	8	0.869324939536	1	0	change	-114.687407028	-114.687407028	-958	245	blue	red
2017-04-13 10:24:37.665000	1	13	noChange	8	0.654568355676	1	0	noChange	37.9311105419	-114.687407028	941	248	magenta	magenta
2017-04-13 10:24:40.796000	1	14	noChange	8	0.725830097871	1	0	noChange	114.687407028	-37.9311105419	950	262	yellow	yellow
2017-04-13 10:24:43.929000	1	15	change	8	0.726297301836	0	0	noChange	37.9311105419	-191.443703514	954	266	red	yellow
2017-04-13 10:24:47.098000	1	16	noChange	8	0.776000331723	1	0	noChange	114.687407028	114.687407028	939	260	white	white
2017-04-13 10:24:50.230000	1	17	noChange	8	0.777231976622	1	0	noChange	-114.687407028	114.687407028	961	273	red	red
2017-04-13 10:24:53.354000	1	18	change	8	0.721081285689	1	0	change	-37.9311105419	114.687407028	-937	243	red	magenta
2017-04-13 10:24:56.684000	1	19	noChange	8	0.926775836934	1	0	noChange	-37.9311105419	-37.9311105419	934	263	white	white
