datetime	block	trial	trial_type	setSize	RT	accuracy	timeout	clickedObject	Targ_X	Targ_Y	Click_X	Click_Y	target_start_color	target_end_color
2017-04-12 15:09:05.997000	1	1	change	8	NA	0	1	NA	37.9311105419	37.9311105419	NA	NA	black	blue
2017-04-12 15:09:09.486000	1	2	change	8	1.09459238096	0	0	noChange	114.687407028	-114.687407028	901	493	white	magenta
2017-04-12 15:09:12.849000	1	3	noChange	8	0.925509295429	0	0	change	-191.443703514	-37.9311105419	-929	488	blue	blue
2017-04-12 15:09:16.728000	1	4	noChange	8	1.46666122006	0	0	change	37.9311105419	-37.9311105419	-924	483	black	black
2017-04-12 15:09:20.229000	1	5	change	8	1.06164670102	0	0	noChange	114.687407028	-37.9311105419	916	481	black	white
2017-04-12 15:09:23.789000	1	6	noChange	8	1.12895568418	1	0	noChange	191.443703514	-37.9311105419	942	483	magenta	magenta
2017-04-12 15:09:27.271000	1	7	change	8	1.06080959304	1	0	change	-37.9311105419	191.443703514	-914	464	magenta	green
2017-04-12 15:09:31.240000	1	8	noChange	8	1.52841055815	0	0	change	-191.443703514	191.443703514	-928	466	black	black
2017-04-12 15:09:34.840000	1	9	change	8	1.2189831786	1	0	change	-191.443703514	-37.9311105419	-951	488	green	yellow
2017-04-12 15:09:38.539000	1	10	noChange	8	1.27436203873	1	0	noChange	-114.687407028	114.687407028	898	468	black	black
2017-04-12 15:09:42.001000	1	11	change	8	1.09121931613	1	0	change	114.687407028	191.443703514	-931	466	green	magenta
2017-04-12 15:09:45.600000	1	12	change	8	1.20105042888	1	0	change	37.9311105419	-191.443703514	-915	470	white	black
2017-04-12 15:09:50.092000	1	13	change	8	2.0621225265	1	0	change	114.687407028	37.9311105419	-912	464	red	magenta
2017-04-12 15:09:53.632000	1	14	noChange	8	1.16008427735	1	0	noChange	37.9311105419	-191.443703514	917	475	red	red
2017-04-12 15:09:57.132000	1	15	change	8	1.09684423839	1	0	change	191.443703514	37.9311105419	-943	476	red	white
2017-04-12 15:10:00.743000	1	16	noChange	8	1.1701402474	1	0	noChange	114.687407028	114.687407028	929	473	green	green
2017-04-12 15:10:04.152000	1	17	noChange	8	1.02531522925	1	0	noChange	37.9311105419	-114.687407028	929	467	magenta	magenta
2017-04-12 15:10:07.873000	1	18	change	8	1.2645790833	1	0	change	114.687407028	114.687407028	-925	454	black	green
2017-04-12 15:10:11.513000	1	19	change	8	1.21182034242	1	0	change	-114.687407028	-114.687407028	-943	458	black	white
