timestamp,version,trial,retention_time_secs,update_count,reset_count,sweeper_growth_speed,sweeper_start_scaling_factor,sweeper_end_scaling_factor,sweeper_start_radius,sweeper_end_radius,cue_radius,radial_difference,RT
2018-11-20 10:31:25,ZOOM,0,1.2,536,2,0.93,1,15.879999999999997,1,15.879999999999997,240,-224.1,8.97514891624
2018-11-20 10:31:35,ZOOM,1,1.2,229,0,0.93,1,213.97000000000108,1,213.97000000000108,270,-56.0,3.88581895828
2018-11-20 10:31:40,ZOOM,2,1.2,133,0,0.93,1,124.69000000000044,1,124.69000000000044,165,-40.3,2.23476600647
2018-11-20 10:31:43,ZOOM,3,1.2,192,0,0.93,1,179.56000000000083,1,179.56000000000083,225,-45.4,3.20159602165
2018-11-20 10:31:48,ZOOM,4,1.2,51,0,0.93,1,48.42999999999999,1,48.42999999999999,150,-101.6,0.850037097931
2018-11-20 10:31:49,ZOOM,5,1.2,0,0,0.93,1,1.0,1,1.0,75,-74.0,0.00283288955688
2018-11-20 10:31:50,ZOOM,6,1.2,0,0,0.93,1,1.0,1,1.0,285,-284.0,0.00282692909241
2018-11-20 10:31:52,ZOOM,7,1.2,0,0,0.93,1,1.0,1,1.0,165,-164.0,0.00283598899841
2018-11-20 10:31:53,ZOOM,8,1.2,0,0,0.93,1,1.0,1,1.0,240,-239.0,0.00291204452515
2018-11-20 10:31:54,ZOOM,9,1.2,0,0,0.93,1,1.0,1,1.0,90,-89.0,0.0028657913208
