timestamp,version,trial,retention_time_secs,update_count,reset_count,sweeper_growth_speed,sweeper_start_scaling_factor,sweeper_end_scaling_factor,sweeper_start_radius,sweeper_end_radius,cue_radius,radial_difference,RT
2018-11-19 20:25:03,ZOOM,0,1.2,229,2,0.93,1,31.689999999999994,1,31.689999999999994,90,-58.3,3.81868577003479
2018-11-19 20:25:08,ZOOM,1,1.2,194,1,0.93,1,14.949999999999998,1,14.949999999999998,165,-150.0,3.2403416633605957
2018-11-19 20:25:12,ZOOM,2,1.2,79,0,0.93,1,74.47000000000007,1,74.47000000000007,105,-30.5,1.3099164962768555
2018-11-19 20:25:15,ZOOM,3,1.2,186,1,0.93,1,7.51,1,7.51,165,-157.5,3.1060330867767334
2018-11-19 20:25:19,ZOOM,4,1.2,252,0,0.93,1,235.36000000000124,1,235.36000000000124,270,-34.6,4.192713499069214
2018-11-19 20:25:24,ZOOM,5,1.2,48,0,0.93,1,45.63999999999999,1,45.63999999999999,60,-14.4,0.8042924404144287
2018-11-19 20:25:26,ZOOM,6,1.2,173,0,0.93,1,161.8900000000007,1,161.8900000000007,165,-3.1,2.8704912662506104
2018-11-19 20:25:30,ZOOM,7,1.2,60,0,0.93,1,56.79999999999999,1,56.79999999999999,60,-3.2,0.9976396560668945
2018-11-19 20:25:32,ZOOM,8,1.2,205,1,0.93,1,10.299999999999999,1,10.299999999999999,180,-169.7,3.4103896617889404
2018-11-19 20:25:36,ZOOM,9,1.2,83,0,0.93,1,78.1900000000001,1,78.1900000000001,90,-11.8,1.3752210140228271
