timestamp,version,trial,retention_time_secs,update_count,reset_count,sweeper_growth_speed,sweeper_start_scaling_factor,sweeper_end_scaling_factor,sweeper_start_radius,sweeper_end_radius,cue_radius,radial_difference,RT
2018-11-19 20:03:25,ZOOM,0,1.2,304,0,0.63,1,-190.51999999999921,1,-190.51999999999921,195,-385.5,5.0639119148254395
2018-11-19 20:03:31,ZOOM,1,1.2,416,0,0.63,1,-261.07999999999873,1,-261.07999999999873,285,-546.1,6.93880033493042
2018-11-19 20:03:39,ZOOM,2,1.2,391,0,0.63,1,-245.32999999999882,1,-245.32999999999882,270,-515.3,6.513009548187256
2018-11-19 20:03:46,ZOOM,3,1.2,312,0,0.63,1,-195.55999999999918,1,-195.55999999999918,135,-330.6,5.192260026931763
2018-11-19 20:03:52,ZOOM,4,1.2,307,0,0.63,1,-192.4099999999992,1,-192.4099999999992,240,-432.4,5.1295599937438965
2018-11-19 20:03:59,ZOOM,5,1.2,99,0,0.63,1,-61.370000000000104,1,-61.370000000000104,90,-151.4,1.6537706851959229
2018-11-19 20:04:01,ZOOM,6,1.2,166,0,0.63,1,-103.57999999999983,1,-103.57999999999983,120,-223.6,2.7448079586029053
2018-11-19 20:04:05,ZOOM,7,1.2,258,0,0.63,1,-161.53999999999942,1,-161.53999999999942,165,-326.5,4.297242164611816
2018-11-19 20:04:10,ZOOM,8,1.2,320,0,0.63,1,-200.59999999999914,1,-200.59999999999914,225,-425.6,5.327570915222168
2018-11-19 20:04:17,ZOOM,9,1.2,331,0,0.63,1,-207.5299999999991,1,-207.5299999999991,195,-402.5,5.506750106811523
2018-11-19 20:04:23,ZOOM,10,1.2,258,0,0.63,1,-161.53999999999942,1,-161.53999999999942,165,-326.5,4.291596174240112
2018-11-19 20:04:29,ZOOM,11,1.2,305,0,0.63,1,-191.1499999999992,1,-191.1499999999992,210,-401.1,5.073123216629028
2018-11-19 20:04:35,ZOOM,12,1.2,334,0,0.63,1,-209.41999999999908,1,-209.41999999999908,255,-464.4,5.5441319942474365
2018-11-19 20:04:41,ZOOM,13,1.2,330,0,0.63,1,-206.8999999999991,1,-206.8999999999991,240,-446.9,5.50588059425354
2018-11-19 20:04:48,ZOOM,14,1.2,398,0,0.63,1,-249.7399999999988,1,-249.7399999999988,255,-504.7,6.6462085247039795
2018-11-19 20:04:55,ZOOM,15,1.2,384,0,0.63,1,-240.91999999999885,1,-240.91999999999885,285,-525.9,6.405154466629028
2018-11-19 20:05:03,ZOOM,16,1.2,351,0,0.63,1,-220.129999999999,1,-220.129999999999,210,-430.1,5.837372541427612
2018-11-19 20:05:10,ZOOM,17,1.2,100,0,0.63,1,-62.00000000000011,1,-62.00000000000011,75,-137.0,1.6540441513061523
