PARTICIPANT	SESSION_TIMESTAMP	TRIAL_N	CURRENT_TRIAL	TRIAL_TYPE	TRIAL_START_TIME	FIXATION_ONSET_TIME	STIM_ONSET_TIME	MASK_ONSET_TIME	RESPONSE_GIVEN_TIME	RT_REL_STIM_ONSET	RT_REL_MASK_ONSET	ACCURACY	TIMEOUT
999	2017-05-11 13:37:14	1	G	NON_BLINK	1494509837.47	1494509837.5	1494509838.07	1494509838.3	1494509838.76	0.681000232697	0.451000213623	1	0
999	2017-05-11 13:37:14	2	G	NON_BLINK	1494509838.76	1494509838.78	1494509839.23	1494509839.44	1494509839.7	0.469000101089	0.259999990463	1	0
999	2017-05-11 13:37:14	3	G	NON_BLINK	1494509839.7	1494509839.71	1494509840.23	1494509840.46	1494509840.57	0.338999986649	0.111999988556	1	0
999	2017-05-11 13:37:14	4	NG	NON_BLINK	1494509840.57	1494509840.59	1494509841.05	1494509841.31	1494509842.36	1.30799984932	1.05099987984	1	1
999	2017-05-11 13:37:14	5	G	BLINK	1494509842.36	1494509844.39	1494509845.01	1494509845.26	1494509845.39	0.381000041962	0.131000041962	1	0
999	2017-05-11 13:37:14	6	NG	NON_BLINK	1494509845.39	1494509845.4	1494509845.9	1494509846.12	1494509847.17	1.27500009537	1.05000019073	1	1
999	2017-05-11 13:37:14	7	G	NON_BLINK	1494509847.17	1494509847.19	1494509847.66	1494509847.88	1494509848.19	0.526000022888	0.305000066757	1	0
999	2017-05-11 13:37:14	8	G	NON_BLINK	1494509848.19	1494509848.21	1494509848.78	1494509849.01	1494509849.29	0.50400018692	0.27999997139	1	0
