datetime	block	trial	trial_type	setSize	RT	accuracy	timeout	clickedObject	Targ_X	Targ_Y	Click_X	Click_Y	target_start_color	target_end_color
2017-04-24 12:18:39.474000	1	1	change	12	1.28099104677	0	0	noChange	-114.687407028	37.9311105419	982	457	magenta	yellow
2017-04-24 12:18:43.294000	1	2	change	12	1.38112373592	0	0	noChange	37.9311105419	191.443703514	936	131	white	green
2017-04-24 12:18:47.055000	1	3	change	12	1.33380601108	1	0	change	-191.443703514	191.443703514	-929	293	red	white
2017-04-24 12:18:50.446000	1	4	change	12	0.981723218303	1	0	change	191.443703514	-114.687407028	-898	493	blue	white
2017-04-24 12:18:54.059000	1	5	noChange	12	1.16103093562	0	0	change	-37.9311105419	-191.443703514	-900	452	magenta	magenta
2017-04-24 12:18:57.418000	1	6	change	12	0.932932446768	1	0	change	-37.9311105419	191.443703514	-847	512	green	black
2017-04-24 12:19:01.183000	1	7	change	12	1.31647636392	1	0	change	-114.687407028	-191.443703514	-844	459	red	yellow
2017-04-24 12:19:04.244000	1	8	change	12	0.655595278368	1	0	change	-114.687407028	114.687407028	-895	501	white	black
2017-04-24 12:19:07.895000	1	9	change	12	1.23356740051	1	0	change	191.443703514	-37.9311105419	-883	483	black	yellow
2017-04-24 12:19:11.586000	1	10	change	12	1.25110806941	1	0	change	37.9311105419	-37.9311105419	-890	483	white	black
2017-04-24 12:19:15.570000	1	11	noChange	12	1.57647936914	1	0	noChange	-191.443703514	-114.687407028	841	304	yellow	yellow
2017-04-24 12:19:19.594000	1	12	noChange	12	1.5942134062	1	0	noChange	114.687407028	-37.9311105419	867	438	yellow	yellow
2017-04-24 12:19:23.128000	1	13	noChange	12	1.11178158183	1	0	noChange	37.9311105419	191.443703514	839	393	white	white
2017-04-24 12:19:27.269000	1	14	noChange	12	1.67072192426	1	0	noChange	114.687407028	-191.443703514	840	390	yellow	yellow
2017-04-24 12:19:30.964000	1	15	noChange	12	1.23058682108	0	0	change	-37.9311105419	-37.9311105419	-980	371	black	black
2017-04-24 12:19:34.693000	1	16	noChange	12	1.30983000023	1	0	noChange	37.9311105419	-37.9311105419	907	319	magenta	magenta
2017-04-24 12:19:38.187000	1	17	change	12	1.0588812235	0	0	noChange	114.687407028	-37.9311105419	941	335	magenta	green
2017-04-24 12:19:41.355000	1	18	change	12	0.730742829366	1	0	change	-191.443703514	-37.9311105419	-905	287	magenta	yellow
2017-04-24 12:19:45.708000	1	19	noChange	12	1.926400626	0	0	change	-191.443703514	191.443703514	-916	274	yellow	yellow
2017-04-24 12:19:49.277000	1	20	noChange	12	1.1783675621	1	0	noChange	37.9311105419	37.9311105419	929	312	white	white
2017-04-24 12:19:53.219000	1	21	noChange	12	1.49362049259	1	0	noChange	-191.443703514	114.687407028	912	311	magenta	magenta
2017-04-24 12:19:57.504000	1	22	noChange	12	1.8890690739	1	0	noChange	191.443703514	191.443703514	911	313	green	green
2017-04-24 12:20:02.169000	1	23	change	12	NA	0	1	NA	114.687407028	37.9311105419	NA	NA	magenta	blue
2017-04-24 12:20:06.439000	1	24	noChange	12	1.80015748626	1	0	noChange	114.687407028	114.687407028	911	308	yellow	yellow
2017-04-24 12:20:09.721000	1	25	change	12	0.830941616771	1	0	change	114.687407028	114.687407028	-910	266	red	white
2017-04-24 12:20:12.940000	1	26	noChange	12	0.75197268377	0	0	change	37.9311105419	-114.687407028	-932	274	yellow	yellow
2017-04-24 12:20:16.305000	1	27	change	12	0.983914313678	1	0	change	114.687407028	-191.443703514	-923	270	black	yellow
2017-04-24 12:20:19.442000	1	28	change	12	0.712247636064	1	0	change	-114.687407028	-114.687407028	-936	271	black	magenta
2017-04-24 12:20:22.593000	1	29	change	12	0.711255751779	1	0	change	-37.9311105419	114.687407028	-928	267	blue	yellow
2017-04-24 12:20:26.327000	1	30	change	12	1.32154704389	0	0	noChange	-37.9311105419	-191.443703514	923	311	yellow	green
2017-04-24 12:20:29.895000	1	31	change	12	1.16194892124	0	0	noChange	191.443703514	191.443703514	920	308	yellow	white
2017-04-24 12:20:33.701000	1	32	noChange	12	1.38386537634	0	0	change	114.687407028	37.9311105419	-940	251	green	green
2017-04-24 12:20:38.030000	1	33	change	12	1.9113318674	0	0	noChange	-191.443703514	114.687407028	914	304	red	magenta
2017-04-24 12:20:40.983000	1	34	noChange	12	0.533894443149	0	0	change	114.687407028	-114.687407028	-939	251	yellow	yellow
2017-04-24 12:20:44.504000	1	35	change	12	1.08753419866	0	0	noChange	-191.443703514	37.9311105419	950	251	white	green
2017-04-24 12:20:49.176000	1	36	noChange	12	NA	0	1	NA	37.9311105419	114.687407028	NA	NA	black	black
2017-04-24 12:20:52.296000	1	37	change	12	0.666583188547	1	0	change	-37.9311105419	-37.9311105419	-947	252	red	yellow
2017-04-24 12:20:56.337000	1	38	change	12	1.62780814922	0	0	noChange	37.9311105419	-114.687407028	942	289	yellow	blue
2017-04-24 12:20:59.612000	1	39	noChange	12	0.845016848895	0	0	change	-114.687407028	-37.9311105419	-937	250	black	black
2017-04-24 12:21:04.267000	1	40	change	12	NA	0	1	NA	37.9311105419	37.9311105419	NA	NA	red	magenta
2017-04-24 12:21:08.908000	1	41	noChange	12	NA	0	1	NA	-114.687407028	-191.443703514	NA	NA	magenta	magenta
2017-04-24 12:21:12.322000	1	42	change	12	1.00930917887	0	0	noChange	-114.687407028	-37.9311105419	944	289	blue	white
2017-04-24 12:21:15.992000	1	43	noChange	12	1.26325865189	1	0	noChange	191.443703514	-37.9311105419	935	286	black	black
2017-04-24 12:21:19.842000	1	44	noChange	12	1.42979585905	1	0	noChange	-191.443703514	37.9311105419	923	280	green	green
2017-04-24 12:21:23.401000	1	45	change	12	1.1250221696	0	0	noChange	-191.443703514	-191.443703514	920	278	black	blue
2017-04-24 12:21:26.909000	1	46	noChange	12	1.05282235418	1	0	noChange	-114.687407028	-114.687407028	940	281	blue	blue
2017-04-24 12:21:30.619000	1	47	change	12	1.308902572	1	0	change	191.443703514	114.687407028	-932	250	white	magenta
2017-04-24 12:21:34.240000	1	48	noChange	12	1.19630810488	1	0	noChange	-37.9311105419	-114.687407028	934	287	red	red
2017-04-24 12:21:38.327000	1	49	change	12	1.63477925648	0	0	noChange	191.443703514	37.9311105419	955	288	red	white
2017-04-24 12:21:41.813000	1	50	noChange	12	1.05857125966	1	0	noChange	114.687407028	191.443703514	949	288	magenta	magenta
2017-04-24 12:21:46.492000	1	51	noChange	12	NA	0	1	NA	-37.9311105419	37.9311105419	NA	NA	blue	blue
