datetime	block	trial	trial_type	setSize	RT	accuracy	timeout	clickedObject	Targ_X	Targ_Y	Click_X	Click_Y	target_start_color	target_end_color
2017-04-20 14:18:16.181000	1	1	change	8	1.07652686705	1	0	change	-191.443703514	-191.443703514	-894	308	red	white
2017-04-20 14:18:19.422000	1	2	change	8	0.819488030899	0	0	noChange	-114.687407028	114.687407028	940	276	black	blue
2017-04-20 14:18:22.882000	1	3	noChange	8	1.00485554477	0	0	change	114.687407028	-114.687407028	-923	317	black	black
2017-04-20 14:18:26.461000	1	4	change	8	1.15061795603	1	0	change	114.687407028	114.687407028	-932	324	yellow	red
2017-04-20 14:18:29.987000	1	5	change	8	1.08885765991	1	0	change	-191.443703514	-37.9311105419	-923	337	yellow	green
2017-04-20 14:18:33.402000	1	6	change	8	0.993380332806	1	0	change	191.443703514	191.443703514	-901	319	red	white
2017-04-20 14:18:36.888000	1	7	noChange	8	1.05520426378	1	0	noChange	-191.443703514	114.687407028	920	282	green	green
2017-04-20 14:18:40.791000	1	8	noChange	8	1.52023875798	0	0	change	-114.687407028	37.9311105419	-895	285	white	white
2017-04-20 14:18:44.285000	1	9	noChange	8	1.0619487374	1	0	noChange	37.9311105419	-37.9311105419	959	263	magenta	magenta
2017-04-20 14:18:48.206000	1	10	noChange	8	1.46812837983	1	0	noChange	114.687407028	-37.9311105419	977	261	yellow	yellow
2017-04-20 14:18:52.094000	1	11	change	8	1.51267031561	1	0	change	-114.687407028	37.9311105419	-933	276	black	red
2017-04-20 14:18:55.675000	1	12	noChange	8	1.15308452515	1	0	noChange	-114.687407028	-114.687407028	968	265	white	white
2017-04-20 14:18:59.271000	1	13	noChange	8	1.15121571313	1	0	noChange	-37.9311105419	-37.9311105419	1003	275	blue	blue
2017-04-20 14:19:03.403000	1	14	noChange	8	1.69802797635	1	0	noChange	191.443703514	-37.9311105419	947	231	white	white
2017-04-20 14:19:06.562000	1	15	change	8	0.683632129772	1	0	change	191.443703514	-191.443703514	-932	248	black	blue
2017-04-20 14:19:10.034000	1	16	noChange	8	1.05779604988	0	0	change	-37.9311105419	191.443703514	-969	263	magenta	magenta
2017-04-20 14:19:13.378000	1	17	change	8	0.91810768824	1	0	change	191.443703514	114.687407028	-924	231	blue	green
2017-04-20 14:19:16.715000	1	18	change	8	0.90586639472	1	0	change	37.9311105419	191.443703514	-935	255	yellow	green
2017-04-20 14:19:20.274000	1	19	noChange	8	1.13317092076	1	0	noChange	191.443703514	114.687407028	952	236	black	black
2017-04-20 14:19:23.722000	1	20	change	8	1.05808712802	1	0	change	-37.9311105419	-37.9311105419	-923	244	green	blue
2017-04-20 14:19:27.108000	1	21	change	8	0.922573623475	1	0	change	-191.443703514	114.687407028	-941	266	black	green
2017-04-20 14:19:30.622000	1	22	noChange	8	1.12160087233	1	0	noChange	191.443703514	-114.687407028	958	249	magenta	magenta
2017-04-20 14:19:33.877000	1	23	change	8	0.845227303705	1	0	change	-37.9311105419	191.443703514	-931	256	magenta	blue
2017-04-20 14:19:37.072000	1	24	change	8	0.786121196894	1	0	change	-37.9311105419	37.9311105419	-891	234	white	blue
2017-04-20 14:19:41.039000	1	25	noChange	8	1.59710145285	0	0	change	114.687407028	191.443703514	-929	251	yellow	yellow
2017-04-20 14:19:44.255000	1	26	noChange	8	0.780331656658	1	0	noChange	-191.443703514	-37.9311105419	967	265	black	black
2017-04-20 14:19:47.830000	1	27	change	8	1.14052752064	1	0	change	114.687407028	191.443703514	-932	247	white	black
2017-04-20 14:19:51.766000	1	28	noChange	8	1.52606771077	1	0	noChange	-114.687407028	191.443703514	937	233	red	red
2017-04-20 14:19:55.199000	1	29	change	8	1.00943150673	1	0	change	114.687407028	-37.9311105419	-923	230	blue	red
2017-04-20 14:19:58.600000	1	30	change	8	0.957802700745	0	0	noChange	-114.687407028	-37.9311105419	952	237	magenta	blue
2017-04-20 14:20:02.103000	1	31	noChange	8	1.08723066034	0	0	change	37.9311105419	-191.443703514	-959	248	yellow	yellow
2017-04-20 14:20:05.371000	1	32	change	8	0.806650211925	1	0	change	-114.687407028	-191.443703514	-943	256	blue	green
2017-04-20 14:20:08.640000	1	33	change	8	0.827285969294	0	0	noChange	-37.9311105419	114.687407028	968	220	white	green
2017-04-20 14:20:11.901000	1	34	noChange	8	0.826174206781	1	0	noChange	-114.687407028	-37.9311105419	949	227	white	white
2017-04-20 14:20:15.343000	1	35	change	8	0.984636493071	1	0	change	191.443703514	-114.687407028	-920	232	magenta	green
2017-04-20 14:20:18.648000	1	36	noChange	8	0.869268962776	0	0	change	-191.443703514	-191.443703514	-956	245	black	black
2017-04-20 14:20:22.128000	1	37	noChange	8	1.07192011403	1	0	noChange	-37.9311105419	37.9311105419	984	258	green	green
2017-04-20 14:20:25.964000	1	38	noChange	8	1.4251362607	1	0	noChange	-191.443703514	191.443703514	966	238	magenta	magenta
2017-04-20 14:20:29.417000	1	39	noChange	8	0.991878960757	1	0	noChange	-191.443703514	-114.687407028	960	238	green	green
2017-04-20 14:20:32.694000	1	40	change	8	0.852170482295	1	0	change	-191.443703514	-114.687407028	-954	234	green	blue
2017-04-20 14:20:36.031000	1	41	change	8	0.899703256298	1	0	change	-191.443703514	37.9311105419	-926	216	green	blue
2017-04-20 14:20:39.275000	1	42	noChange	8	0.862906298291	1	0	noChange	-114.687407028	114.687407028	936	207	green	green
2017-04-20 14:20:42.516000	1	43	noChange	8	0.787098710388	0	0	change	114.687407028	-191.443703514	-952	232	black	black
2017-04-20 14:20:45.956000	1	44	noChange	8	1.04157819369	1	0	noChange	191.443703514	-191.443703514	958	225	white	white
2017-04-20 14:20:49.202000	1	45	change	8	0.784417835495	1	0	change	-114.687407028	-114.687407028	-952	247	blue	yellow
2017-04-20 14:20:52.632000	1	46	noChange	8	0.972164882427	0	0	change	-191.443703514	37.9311105419	-970	249	black	black
2017-04-20 14:20:55.938000	1	47	noChange	8	0.869515291251	1	0	noChange	114.687407028	114.687407028	960	223	green	green
