"Experimental_Loop_PLUS_Pause","Letter_Control_Condition","Letter_Experimental_Condition","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","condition","condition1","condition2","coordinates","coroutines_cycles","coroutines_duration","coroutines_mean_cycle_duration","correct","correct_KBR_Control","correct_KBR_Control_1","correct_KBR_Experimental","correct_KBR_Experimental_2","correct_response_Control","correct_response_Experimental","count_Blank_Control","count_Blank_Control_1","count_Blank_Experimental","count_Blank_Experimental_2","count_Block_sequence","count_Block_sequence_1","count_Counterbalance","count_End_of_Experiment","count_End_of_Practice","count_Experimental_Loop","count_Experimental_Loop_with_Pause","count_Experimental_PLUS_Pause_Sequence","count_Instructions","count_Instructions_Control_Condition","count_Instructions_Control_Condition_1","count_Instructions_Experimental_Condition","count_Instructions_Experimental_Condition_1","count_KBR_Control","count_KBR_Control_1","count_KBR_Experimental","count_KBR_Experimental_2","count_Letter_Control_Condition","count_Letter_Control_Condition_1","count_Letter_Experimental_Condition_2","count_Letter_Experimental_Condition_2_2","count_Pause_1","count_PracticeLoop","count_Trial_Loop_Control_Condition_Experimental_Phase_1","count_Trial_Loop_Control_Condition_Practice_Phase","count_Trial_Loop_Experimental_Condition_Experimental_Phase","count_Trial_Loop_Experimental_Condition_Practice_Phase","count_Trial_sequence_Control","count_Trial_sequence_Control_1","count_Trial_sequence_Experimental","count_Trial_sequence_Experimental_2","count_coroutines_Control","count_experiment","count_logger_1","datetime","description","disable_garbage_collection","experiment_file","experiment_path","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","form_response","fullscreen","height","keyboard_backend","live_row","live_row_PracticeLoop","live_row_Trial_Loop_Control_Condition_Practice_Phase","logfile","mouse_backend","opensesame_codename","opensesame_version","practice","repeat_cycle","response","response_KBR_Control","response_KBR_Control_1","response_KBR_Experimental","response_KBR_Experimental_2","response_time","response_time_KBR_Control","response_time_KBR_Control_1","response_time_KBR_Experimental","response_time_KBR_Experimental_2","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","time_Blank_Control","time_Blank_Control_1","time_Blank_Experimental","time_Blank_Experimental_2","time_Block_sequence","time_Block_sequence_1","time_Counterbalance","time_End_of_Experiment","time_End_of_Practice","time_Experimental_Loop","time_Experimental_Loop_with_Pause","time_Experimental_PLUS_Pause_Sequence","time_Instructions","time_Instructions_Control_Condition","time_Instructions_Control_Condition_1","time_Instructions_Experimental_Condition","time_Instructions_Experimental_Condition_1","time_KBR_Control","time_KBR_Control_1","time_KBR_Experimental","time_KBR_Experimental_2","time_Letter_Control_Condition","time_Letter_Control_Condition_1","time_Letter_Experimental_Condition_2","time_Letter_Experimental_Condition_2_2","time_Pause_1","time_PracticeLoop","time_Trial_Loop_Control_Condition_Experimental_Phase_1","time_Trial_Loop_Control_Condition_Practice_Phase","time_Trial_Loop_Experimental_Condition_Experimental_Phase","time_Trial_Loop_Experimental_Condition_Practice_Phase","time_Trial_sequence_Control","time_Trial_sequence_Control_1","time_Trial_sequence_Experimental","time_Trial_sequence_Experimental_2","time_experiment","time_logger_1","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"","F","X","90.9090909091","90.9090909091","621.159090909","621.159090909","white","no","legacy","legacy","legacy","0","[condition1]","control","experimental","uniform","171375","2000","0.0116703136397","1","1","1","0","1","m","None","4","20","4","12","1","2","0","0","0","0","0","0","0","1","2","1","2","4","20","4","12","4","20","4","12","0","0","2","1","2","1","4","20","4","12","4","0","43","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","7","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","m","m","m","m","None","690","543","690","1159","1998","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","112228","25416","93964","14290","95015","1219","NA","26435","38118","28063","28117","1219","2098","95017","14291","66558","12237","111228","24416","92964","12237","111228","24416","92964","28118","2059","97012","4093","68553","16286","12223","111214","24401","92946","1218","113227","Go No-go Task","40","27331","44","yes","1024"
"","Y","X","91.1111111111","91.1111111111","613.911111111","613.911111111","white","no","legacy","legacy","legacy","0","[condition1]","control","experimental","uniform","192315","2000","0.010399604815","1","1","1","0","1","m","None","4","21","4","12","1","2","0","0","0","0","0","0","0","1","2","1","2","4","21","4","12","4","21","4","12","0","0","2","1","2","1","4","21","4","12","4","0","44","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","8","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","m","m","m","m","None","295","543","295","1159","1998","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","114255","25416","93964","14290","95015","1219","NA","26435","38118","28063","28117","1219","2098","95017","14291","66558","12237","113256","24416","92964","12237","113256","24416","92964","28118","2059","97012","4093","68553","16286","12223","113242","24401","92946","1218","115254","Go No-go Task","41","27626","45","yes","1024"
"","Q","X","91.3043478261","91.3043478261","606.217391304","606.217391304","white","no","legacy","legacy","legacy","0","[condition1]","control","experimental","uniform","189402","2000","0.0105595505855","1","1","1","0","1","m","None","4","22","4","12","1","2","0","0","0","0","0","0","0","1","2","1","2","4","22","4","12","4","22","4","12","0","0","2","1","2","1","4","22","4","12","4","0","45","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","9","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","m","m","m","m","None","260","543","260","1159","1998","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","116294","25416","93964","14290","95015","1219","NA","26435","38118","28063","28117","1219","2098","95017","14291","66558","12237","115295","24416","92964","12237","115295","24416","92964","28118","2059","97012","4093","68553","16286","12223","115277","24401","92946","1218","117293","Go No-go Task","42","27886","46","yes","1024"
"","I","X","91.4893617021","91.4893617021","599.14893617","599.14893617","white","no","legacy","legacy","legacy","0","[condition1]","control","experimental","uniform","188552","2000","0.0106071534643","1","1","1","0","1","m","None","4","23","4","12","1","2","0","0","0","0","0","0","0","1","2","1","2","4","23","4","12","4","23","4","12","0","0","2","1","2","1","4","23","4","12","4","0","46","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","10","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","m","m","m","m","None","274","543","274","1159","1998","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","118323","25416","93964","14290","95015","1219","NA","26435","38118","28063","28117","1219","2098","95017","14291","66558","12237","117323","24416","92964","12237","117323","24416","92964","28118","2059","97012","4093","68553","16286","12223","117308","24401","92946","1218","119322","Go No-go Task","43","28160","47","yes","1024"
"","K","X","91.6666666667","91.6666666667","594.5625","594.5625","white","no","legacy","legacy","legacy","0","[condition1]","control","experimental","uniform","182114","2000","0.0109821320711","1","1","1","0","1","m","None","4","24","4","12","1","2","0","0","0","0","0","0","0","1","2","1","2","4","24","4","12","4","24","4","12","0","0","2","1","2","1","4","24","4","12","4","0","47","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","11","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","m","m","m","m","None","379","543","379","1159","1998","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","120352","25416","93964","14290","95015","1219","NA","26435","38118","28063","28117","1219","2098","95017","14291","66558","12237","119352","24416","92964","12237","119352","24416","92964","28118","2059","97012","4093","68553","16286","12223","119337","24401","92946","1218","121351","Go No-go Task","44","28539","48","yes","1024"
"","W","X","91.8367346939","91.8367346939","607.224489796","607.224489796","white","no","legacy","legacy","legacy","0","[condition1]","control","experimental","uniform","143986","2000","0.0138902393288","1","1","1","0","1","m","None","4","25","4","12","1","2","0","0","0","0","0","0","0","1","2","1","2","4","25","4","12","4","25","4","12","0","0","2","1","2","1","4","25","4","12","4","0","48","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","12","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","m","m","m","m","None","1215","543","1215","1159","1998","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","122380","25416","93964","14290","95015","1219","NA","26435","38118","28063","28117","1219","2098","95017","14291","66558","12237","121380","24416","92964","12237","121380","24416","92964","28118","2059","97012","4093","68553","16286","12223","121366","24401","92946","1218","123379","Go No-go Task","45","29754","49","yes","1024"
"","W","W","90","90","635.06","635.06","white","no","legacy","legacy","legacy","0","[condition2]","control","experimental","uniform","106002","2000","0.0188675685364","0","1","1","0","0","m","m","4","25","4","13","1","3","0","0","0","0","0","0","0","1","3","1","3","4","25","4","13","4","25","4","13","0","0","3","1","3","1","4","25","4","13","4","0","49","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","0","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","None","m","m","m","None","1999","543","1215","1159","1999","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","122380","25416","126444","14290","123432","1219","NA","26435","38118","28063","28117","1219","2098","95017","14291","123433","12237","121380","24416","125444","12237","121380","24416","125444","28118","2059","97012","4093","125429","16286","12223","121366","24401","125430","1218","127443","Go No-go Task","45","31753","50","yes","1024"
"","W","X","88.2352941176","88.2352941176","633","633","white","no","legacy","legacy","legacy","0","[condition2]","control","experimental","uniform","176780","2000","0.0113134970019","0","1","1","0","0","m","None","4","25","4","14","1","3","0","0","0","0","0","0","0","1","3","1","3","4","25","4","14","4","25","4","14","0","0","3","1","3","1","4","25","4","14","4","0","50","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","1","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","m","m","m","m","m","530","543","1215","1159","530","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","122380","25416","128473","14290","123432","1219","NA","26435","38118","28063","28117","1219","2098","95017","14291","123433","12237","121380","24416","127473","12237","121380","24416","127473","28118","2059","97012","4093","125429","16286","12223","121366","24401","127459","1218","129472","Go No-go Task","45","32283","51","yes","1024"
"","W","X","86.5384615385","86.5384615385","626.75","626.75","white","no","legacy","legacy","legacy","0","[condition2]","control","experimental","uniform","188027","2000","0.0106367702511","0","1","1","0","0","m","None","4","25","4","15","1","3","0","0","0","0","0","0","0","1","3","1","3","4","25","4","15","4","25","4","15","0","0","3","1","3","1","4","25","4","15","4","0","51","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","2","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","m","m","m","m","m","308","543","1215","1159","308","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","122380","25416","130514","14290","123432","1219","NA","26435","38118","28063","28117","1219","2098","95017","14291","123433","12237","121380","24416","129515","12237","121380","24416","129515","28118","2059","97012","4093","125429","16286","12223","121366","24401","129496","1218","131513","Go No-go Task","45","32591","52","yes","1024"
"","W","X","86.7924528302","86.7924528302","652.641509434","652.641509434","white","no","legacy","legacy","legacy","0","[condition2]","control","experimental","uniform","110475","2000","0.0181036433582","1","1","1","0","1","m","None","4","25","4","16","1","3","0","0","0","0","0","0","0","1","3","1","3","4","25","4","16","4","25","4","16","0","0","3","1","3","1","4","25","4","16","4","0","52","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","3","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","None","m","m","m","None","1999","543","1215","1159","1999","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","122380","25416","132547","14290","123432","1219","NA","26435","38118","28063","28117","1219","2098","95017","14291","123433","12237","121380","24416","131547","12237","121380","24416","131547","28118","2059","97012","4093","125429","16286","12223","121366","24401","131534","1218","133546","Go No-go Task","46","34590","53","yes","1024"
"","W","X","87.037037037","87.037037037","677.537037037","677.537037037","white","no","legacy","legacy","legacy","0","[condition2]","control","experimental","uniform","105409","2000","0.0189737119221","1","1","1","0","1","m","None","4","25","4","17","1","3","0","0","0","0","0","0","0","1","3","1","3","4","25","4","17","4","25","4","17","0","0","3","1","3","1","4","25","4","17","4","0","53","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","4","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","None","m","m","m","None","1997","543","1215","1159","1997","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","122380","25416","134575","14290","123432","1219","NA","26435","38118","28063","28117","1219","2098","95017","14291","123433","12237","121380","24416","133576","12237","121380","24416","133576","28118","2059","97012","4093","125429","16286","12223","121366","24401","133562","1218","135574","Go No-go Task","47","36587","54","yes","1024"
"","W","A","87.2727272727","87.2727272727","673.145454545","673.145454545","white","no","legacy","legacy","legacy","0","[condition2]","control","experimental","uniform","185073","2000","0.0108065466059","1","1","1","0","1","m","m","4","25","4","18","1","3","0","0","0","0","0","0","0","1","3","1","3","4","25","4","18","4","25","4","18","0","0","3","1","3","1","4","25","4","18","4","0","54","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","5","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","m","m","m","m","m","436","543","1215","1159","436","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","122380","25416","136615","14290","123432","1219","NA","26435","38118","28063","28117","1219","2098","95017","14291","123433","12237","121380","24416","135615","12237","121380","24416","135615","28118","2059","97012","4093","125429","16286","12223","121366","24401","135597","1218","137614","Go No-go Task","48","37023","55","yes","1024"
"","W","X","87.5","87.5","696.803571429","696.803571429","white","no","legacy","legacy","legacy","0","[condition2]","control","experimental","uniform","106607","2000","0.0187604941514","1","1","1","0","1","m","None","4","25","4","19","1","3","0","0","0","0","0","0","0","1","3","1","3","4","25","4","19","4","25","4","19","0","0","3","1","3","1","4","25","4","19","4","0","55","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","6","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","None","m","m","m","None","1998","543","1215","1159","1998","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","122380","25416","138643","14290","123432","1219","NA","26435","38118","28063","28117","1219","2098","95017","14291","123433","12237","121380","24416","137644","12237","121380","24416","137644","28118","2059","97012","4093","125429","16286","12223","121366","24401","137630","1218","139642","Go No-go Task","49","39021","56","yes","1024"
"","W","K","87.7192982456","87.7192982456","693.070175439","693.070175439","white","no","legacy","legacy","legacy","0","[condition2]","control","experimental","uniform","180894","2000","0.0110561986578","1","1","1","0","1","m","m","4","25","4","20","1","3","0","0","0","0","0","0","0","1","3","1","3","4","25","4","20","4","25","4","20","0","0","3","1","3","1","4","25","4","20","4","0","56","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","7","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","m","m","m","m","m","484","543","1215","1159","484","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","122380","25416","140679","14290","123432","1219","NA","26435","38118","28063","28117","1219","2098","95017","14291","123433","12237","121380","24416","139679","12237","121380","24416","139679","28118","2059","97012","4093","125429","16286","12223","121366","24401","139661","1218","141678","Go No-go Task","50","39505","57","yes","1024"
"","W","X","87.9310344828","87.9310344828","715.568965517","715.568965517","white","no","legacy","legacy","legacy","0","[condition2]","control","experimental","uniform","106324","2000","0.0188104285016","1","1","1","0","1","m","None","4","25","4","21","1","3","0","0","0","0","0","0","0","1","3","1","3","4","25","4","21","4","25","4","21","0","0","3","1","3","1","4","25","4","21","4","0","57","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","8","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","None","m","m","m","None","1998","543","1215","1159","1998","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","122380","25416","142716","14290","123432","1219","NA","26435","38118","28063","28117","1219","2098","95017","14291","123433","12237","121380","24416","141717","12237","121380","24416","141717","28118","2059","97012","4093","125429","16286","12223","121366","24401","141699","1218","143715","Go No-go Task","51","41503","58","yes","1024"
"","W","Y","88.1355932203","88.1355932203","711.711864407","711.711864407","white","no","legacy","legacy","legacy","0","[condition2]","control","experimental","uniform","179051","2000","0.0111700018431","1","1","1","0","1","m","m","4","25","4","22","1","3","0","0","0","0","0","0","0","1","3","1","3","4","25","4","22","4","25","4","22","0","0","3","1","3","1","4","25","4","22","4","0","58","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","9","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","m","m","m","m","m","488","543","1215","1159","488","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","122380","25416","144745","14290","123432","1219","NA","26435","38118","28063","28117","1219","2098","95017","14291","123433","12237","121380","24416","143745","12237","121380","24416","143745","28118","2059","97012","4093","125429","16286","12223","121366","24401","143731","1218","145744","Go No-go Task","52","41991","59","yes","1024"
"","W","I","88.3333333333","88.3333333333","705.266666667","705.266666667","white","no","legacy","legacy","legacy","0","[condition2]","control","experimental","uniform","185545","2000","0.0107790562936","1","1","1","0","1","m","m","4","25","4","23","1","3","0","0","0","0","0","0","0","1","3","1","3","4","25","4","23","4","25","4","23","0","0","3","1","3","1","4","25","4","23","4","0","59","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","10","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","m","m","m","m","m","325","543","1215","1159","325","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","122380","25416","146772","14290","123432","1219","NA","26435","38118","28063","28117","1219","2098","95017","14291","123433","12237","121380","24416","145773","12237","121380","24416","145773","28118","2059","97012","4093","125429","16286","12223","121366","24401","145759","1218","147771","Go No-go Task","53","42316","60","yes","1024"
"","W","X","88.5245901639","88.5245901639","726.475409836","726.475409836","white","no","legacy","legacy","legacy","0","[condition2]","control","experimental","uniform","106423","2000","0.0187929300997","1","1","1","0","1","m","None","4","25","4","24","1","3","0","0","0","0","0","0","0","1","3","1","3","4","25","4","24","4","25","4","24","0","0","3","1","3","1","4","25","4","24","4","0","60","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","11","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","None","m","m","m","None","1999","543","1215","1159","1999","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","122380","25416","148796","14290","123432","1219","NA","26435","38118","28063","28117","1219","2098","95017","14291","123433","12237","121380","24416","147796","12237","121380","24416","147796","28118","2059","97012","4093","125429","16286","12223","121366","24401","147781","1218","149795","Go No-go Task","54","44315","61","yes","1024"
"","W","G","88.7096774194","88.7096774194","719.967741935","719.967741935","white","no","legacy","legacy","legacy","0","[condition2]","control","experimental","uniform","188591","2000","0.0106049599398","1","1","1","0","1","m","m","4","25","4","25","1","3","0","0","0","0","0","0","0","1","3","1","3","4","25","4","25","4","25","4","25","0","0","3","1","3","1","4","25","4","25","4","0","61","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","12","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","m","m","m","m","m","323","543","1215","1159","323","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","122380","25416","150824","14290","123432","1219","NA","26435","38118","28063","28117","1219","2098","95017","14291","123433","12237","121380","24416","149824","12237","121380","24416","149824","28118","2059","97012","4093","125429","16286","12223","121366","24401","149810","1218","151823","Go No-go Task","55","44638","62","yes","1024"
"","T","G","88.8888888889","88.8888888889","717.984126984","717.984126984","white","no","legacy","legacy","legacy","0","[condition1]","control","experimental","uniform","176484","2000","0.0113324720655","1","1","1","0","1","m","m","4","26","4","25","1","4","0","0","0","0","0","0","0","1","4","1","4","4","26","4","25","4","26","4","25","0","0","4","1","4","1","4","26","4","25","4","0","62","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","0","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","m","m","m","m","m","595","543","595","1159","323","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","154883","25416","150824","14290","151870","1219","NA","26435","38118","28063","28117","1219","2098","151872","14291","123433","12237","153883","24416","149824","12237","153883","24416","149824","28118","2059","153867","4093","125429","16286","12223","153869","24401","149810","1218","155882","Go No-go Task","56","45233","63","yes","1024"
"","P","G","89.0625","89.0625","712.40625","712.40625","white","no","legacy","legacy","legacy","0","[condition1]","control","experimental","uniform","191306","2000","0.0104544551661","1","1","1","0","1","m","m","4","27","4","25","1","4","0","0","0","0","0","0","0","1","4","1","4","4","27","4","25","4","27","4","25","0","0","4","1","4","1","4","27","4","25","4","0","63","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","1","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","m","m","m","m","m","361","543","361","1159","323","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","156915","25416","150824","14290","151870","1219","NA","26435","38118","28063","28117","1219","2098","151872","14291","123433","12237","155915","24416","149824","12237","155915","24416","149824","28118","2059","153867","4093","125429","16286","12223","155902","24401","149810","1218","157914","Go No-go Task","57","45594","64","yes","1024"
"","F","G","89.2307692308","89.2307692308","706.061538462","706.061538462","white","no","legacy","legacy","legacy","0","[condition1]","control","experimental","uniform","189559","2000","0.0105508047626","1","1","1","0","1","m","m","4","28","4","25","1","4","0","0","0","0","0","0","0","1","4","1","4","4","28","4","25","4","28","4","25","0","0","4","1","4","1","4","28","4","25","4","0","64","06/26/19 10:59:41","The main experiment item","yes","Go_NoGo_Response_Inhibition_Task_MODIFIED.osexp","C:\Users\nur375\Documents\GitHub\paradigms\pc\go_nogo\OS","no","mono","no","18","no","black","no","Ok","no","768","legacy","2","1","4","C:/Users/nur375/Documents/GitHub/paradigms/pc/go_nogo/OS\quickrun.csv","legacy","Kafkaesque Koffka","3.2.7","no","0","m","m","m","m","m","300","543","300","1159","323","2","legacy","1024","2","48000","-16","experiment","999","odd","13237","158943","25416","150824","14290","151870","1219","NA","26435","38118","28063","28117","1219","2098","151872","14291","123433","12237","157943","24416","149824","12237","157943","24416","149824","28118","2059","153867","4093","125429","16286","12223","157929","24401","149810","1218","159942","Go No-go Task","58","45894","65","yes","1024"
