timestamp,version,trial,retention_time_secs,cue_type,line_sweep_direction,cue_pos_x,cue_pos_y,top_line_x,top_line_y,bottom_line_x,bottom_line_y,RT,n_rotations,n_updates,cue_angle1,cue_angle2,line_angle,line_angle_wrap360
2018-11-20 13:21:25,SWEEP,0,1.2,flash,+,200,200,-100.0,-100.0,100.0,100.0,2.8566467762,2.470000000000007,171,45.0,45.0,889.2000000000025,169.20000000000255
2018-11-20 13:21:30,SWEEP,1,1.2,flash,+,200,-200,-100.0,-100.0,100.0,100.0,5.53039598465,4.795555555555583,332,315.0,135.0,1726.4000000000099,286.40000000000987
2018-11-20 13:21:39,SWEEP,2,1.2,flash,+,0,-200,-100.0,-100.0,100.0,100.0,1.53175187111,1.328888888888887,92,270.0,180.0,478.3999999999993,118.3999999999993
2018-11-20 13:21:43,SWEEP,3,1.2,flash,+,-200,200,-100.0,-100.0,100.0,100.0,1.94925999641,1.6900000000000002,117,135.0,315.0,608.4000000000001,248.4000000000001
2018-11-20 13:21:48,SWEEP,4,1.2,flash,+,0,200,-100.0,-100.0,100.0,100.0,1.54597902298,1.3433333333333313,93,90.0,0.0,483.5999999999993,123.59999999999928
2018-11-20 13:21:52,SWEEP,5,1.2,flash,+,-200,-200,-100.0,-100.0,100.0,100.0,1.73252701759,1.5022222222222208,104,225.0,225.0,540.7999999999995,180.7999999999995
2018-11-20 13:21:57,SWEEP,6,1.2,flash,+,-200,-200,-100.0,-100.0,100.0,100.0,1.73309206963,1.5022222222222208,104,225.0,225.0,540.7999999999995,180.7999999999995
2018-11-20 13:22:01,SWEEP,7,1.2,flash,+,0,-200,-100.0,-100.0,100.0,100.0,2.18189907074,1.8922222222222242,131,270.0,180.0,681.2000000000007,321.2000000000007
2018-11-20 13:22:06,SWEEP,8,1.2,flash,+,200,200,-100.0,-100.0,100.0,100.0,1.76467204094,1.53111111111111,106,45.0,45.0,551.1999999999996,191.1999999999996
2018-11-20 13:22:10,SWEEP,9,1.2,flash,+,0,-200,-100.0,-100.0,100.0,100.0,0.949624061584,0.8233333333333325,57,270.0,180.0,296.3999999999997,296.3999999999997
2018-11-20 13:22:14,SWEEP,10,1.2,flash,+,-200,0,-100.0,-100.0,100.0,100.0,1.09882903099,0.9533333333333321,66,180.0,270.0,343.1999999999996,343.1999999999996
2018-11-20 13:22:18,SWEEP,11,1.2,flash,+,-200,200,-100.0,-100.0,100.0,100.0,1.23228597641,1.0688888888888874,74,135.0,315.0,384.7999999999995,24.7999999999995
2018-11-20 13:22:22,SWEEP,12,1.2,flash,+,200,0,-100.0,-100.0,100.0,100.0,1.26524400711,1.0977777777777764,76,0.0,90.0,395.1999999999995,35.19999999999948
