timestamp,version,trial,RT,ACC,CUE,case_shown
2018-11-19 23:05:35,LEFT_RIGHT,0,4.60617589951,0,left-arrow,NA
2018-11-19 23:05:40,LEFT_RIGHT,1,0.846652984619,0,right,RIGHT
2018-11-19 23:05:42,LEFT_RIGHT,2,0.656754016876,0,right,right
2018-11-19 23:05:44,LEFT_RIGHT,3,0.0239319801331,0,right,RIGHT
2018-11-19 23:05:45,LEFT_RIGHT,4,0.307569980621,0,left-arrow,NA
2018-11-19 23:05:46,LEFT_RIGHT,5,0.0598959922791,0,left,left
2018-11-19 23:05:47,LEFT_RIGHT,6,0.462564945221,0,left-arrow,NA
2018-11-19 23:05:49,LEFT_RIGHT,7,0.307327985764,0,left-arrow,NA
2018-11-19 23:05:50,LEFT_RIGHT,8,0.115566968918,0,right,RIGHT
2018-11-19 23:05:51,LEFT_RIGHT,9,0.0607600212097,0,left-arrow,NA
