timestamp,version,trial,retention_time_secs,update_count,reset_count,sweeper_growth_speed,sweeper_start_scaling_factor,sweeper_end_scaling_factor,sweeper_start_radius,sweeper_end_radius,cue_radius,radial_difference,RT
2018-11-29 09:42:16,ZOOM,0,1.2,374,3,0.93,1,61.44999999999999,1,61.44999999999999,90,-28.6,6.2800090313
2018-11-29 09:42:23,ZOOM,1,1.2,0,0,0.93,1,1.0,1,1.0,225,-224.0,0.00330901145935
2018-11-29 09:42:24,ZOOM,2,1.2,4,0,0.93,1,4.720000000000001,1,4.720000000000001,135,-130.3,0.0799031257629
2018-11-29 09:42:24,ZOOM,3,1.2,0,0,0.93,1,1.0,1,1.0,120,-119.0,0.00318789482117
2018-11-29 09:42:24,ZOOM,4,1.2,0,0,0.93,1,1.0,1,1.0,120,-119.0,0.00304985046387
2018-11-29 09:42:25,ZOOM,5,1.2,0,0,0.93,1,1.0,1,1.0,90,-89.0,0.0033700466156
2018-11-29 09:42:25,ZOOM,6,1.2,0,0,0.93,1,1.0,1,1.0,165,-164.0,0.00352001190186
2018-11-29 09:42:25,ZOOM,7,1.2,0,0,0.93,1,1.0,1,1.0,90,-89.0,0.00319194793701
2018-11-29 09:42:26,ZOOM,8,1.2,0,0,0.93,1,1.0,1,1.0,285,-284.0,0.00317287445068
2018-11-29 09:42:26,ZOOM,9,1.2,0,0,0.93,1,1.0,1,1.0,90,-89.0,0.0031750202179
