datetime	block	trial	trial_type	setSize	RT	accuracy	timeout	clickedObject	Targ_X	Targ_Y	Click_X	Click_Y	target_start_color	target_end_color
2017-04-21 12:08:36.193000	1	1	change	12	1.15843149523	1	0	change	37.9311105419	-37.9311105419	-943	105	red	green
2017-04-21 12:08:40.047000	1	2	change	12	1.43006118799	0	0	noChange	-114.687407028	191.443703514	919	76	black	blue
2017-04-21 12:08:44.129000	1	3	noChange	12	1.61225475948	1	0	noChange	114.687407028	37.9311105419	909	78	green	green
2017-04-21 12:08:47.728000	1	4	noChange	12	1.19684354693	1	0	noChange	-191.443703514	-37.9311105419	907	51	white	white
2017-04-21 12:08:51.584000	1	5	change	12	1.41467304822	0	0	noChange	114.687407028	-114.687407028	919	57	black	white
2017-04-21 12:08:55.331000	1	6	noChange	12	1.27895098556	1	0	noChange	191.443703514	-191.443703514	909	55	green	green
2017-04-21 12:08:58.900000	1	7	change	12	1.09871244107	1	0	change	114.687407028	114.687407028	-979	110	yellow	blue
2017-04-21 12:09:02.439000	1	8	change	12	1.12914837678	0	0	noChange	191.443703514	191.443703514	927	80	black	blue
2017-04-21 12:09:05.996000	1	9	change	12	1.1156323334	0	0	noChange	-37.9311105419	-114.687407028	935	60	red	magenta
2017-04-21 12:09:09.519000	1	10	noChange	12	1.06756502661	1	0	noChange	-114.687407028	-37.9311105419	936	87	red	red
2017-04-21 12:09:13.162000	1	11	noChange	12	1.23161568488	1	0	noChange	114.687407028	-37.9311105419	914	78	green	green
2017-04-21 12:09:16.944000	1	12	change	12	1.32644352591	1	0	change	191.443703514	-37.9311105419	-932	52	green	red
2017-04-21 12:09:20.476000	1	13	change	12	1.09214450285	1	0	change	114.687407028	-37.9311105419	-933	76	red	white
2017-04-21 12:09:23.939000	1	14	change	12	1.03905168464	1	0	change	191.443703514	-114.687407028	-953	92	white	red
2017-04-21 12:09:27.974000	1	15	change	12	1.58579497588	0	0	noChange	191.443703514	37.9311105419	929	62	yellow	black
2017-04-21 12:09:31.492000	1	16	change	12	1.10079514831	1	0	change	114.687407028	-191.443703514	-958	72	red	black
2017-04-21 12:09:34.853000	1	17	noChange	12	0.964601777178	1	0	noChange	-37.9311105419	191.443703514	896	47	magenta	magenta
2017-04-21 12:09:38.282000	1	18	noChange	12	0.964504887978	1	0	noChange	37.9311105419	-191.443703514	941	70	yellow	yellow
2017-04-21 12:09:42.122000	1	19	change	12	1.40130685466	0	0	noChange	-37.9311105419	114.687407028	890	39	white	magenta
2017-04-21 12:09:45.714000	1	20	change	12	1.12810558624	1	0	change	-37.9311105419	-191.443703514	-964	72	white	magenta
2017-04-21 12:09:49.306000	1	21	noChange	12	1.19139845601	1	0	noChange	191.443703514	-114.687407028	938	70	white	white
2017-04-21 12:09:52.906000	1	22	change	12	1.16113741352	0	0	noChange	-37.9311105419	191.443703514	933	60	blue	white
2017-04-21 12:09:56.478000	1	23	change	12	1.14921224154	0	0	noChange	-191.443703514	-114.687407028	925	60	red	magenta
2017-04-21 12:10:00.155000	1	24	change	12	1.22755537054	1	0	change	-114.687407028	37.9311105419	-910	145	yellow	black
2017-04-21 12:10:03.490000	1	25	noChange	12	0.885481481846	1	0	noChange	191.443703514	191.443703514	892	65	magenta	magenta
2017-04-21 12:10:07.073000	1	26	change	12	1.12674913744	1	0	change	191.443703514	114.687407028	-951	55	yellow	black
2017-04-21 12:10:11.363000	1	27	noChange	12	1.85692174801	1	0	noChange	-114.687407028	37.9311105419	922	54	magenta	magenta
2017-04-21 12:10:14.803000	1	28	noChange	12	0.964944173757	1	0	noChange	-114.687407028	-114.687407028	924	56	green	green
2017-04-21 12:10:18.282000	1	29	noChange	12	1.01976991278	1	0	noChange	114.687407028	-191.443703514	929	83	green	green
2017-04-21 12:10:21.746000	1	30	noChange	12	1.016683417	1	0	noChange	-114.687407028	114.687407028	944	58	green	green
2017-04-21 12:10:25.269000	1	31	change	12	1.08776478258	1	0	change	-191.443703514	-37.9311105419	-964	97	white	green
2017-04-21 12:10:29.222000	1	32	noChange	12	1.52158371145	1	0	noChange	114.687407028	-114.687407028	927	76	magenta	magenta
2017-04-21 12:10:32.712000	1	33	change	12	1.07273915621	1	0	change	-37.9311105419	37.9311105419	-924	69	red	white
2017-04-21 12:10:36.054000	1	34	noChange	12	0.933953177884	1	0	noChange	191.443703514	-37.9311105419	958	73	yellow	yellow
2017-04-21 12:10:39.343000	1	35	change	12	0.898686330248	0	0	noChange	-191.443703514	114.687407028	933	83	green	magenta
2017-04-21 12:10:42.832000	1	36	noChange	12	1.03939243903	1	0	noChange	114.687407028	114.687407028	924	57	magenta	magenta
2017-04-21 12:10:46.294000	1	37	change	12	1.02822760094	1	0	change	-191.443703514	191.443703514	-944	104	white	red
2017-04-21 12:10:49.948000	1	38	noChange	12	1.22357429185	1	0	noChange	-191.443703514	-114.687407028	945	68	magenta	magenta
2017-04-21 12:10:53.486000	1	39	noChange	12	1.09811263123	1	0	noChange	-37.9311105419	-191.443703514	942	55	yellow	yellow
2017-04-21 12:10:56.822000	1	40	noChange	12	0.89433699049	1	0	noChange	37.9311105419	-114.687407028	945	58	magenta	magenta
2017-04-21 12:11:00.111000	1	41	change	12	0.847814984325	1	0	change	114.687407028	191.443703514	-936	86	yellow	black
2017-04-21 12:11:03.409000	1	42	noChange	12	0.844519109342	1	0	noChange	-191.443703514	191.443703514	939	79	yellow	yellow
2017-04-21 12:11:06.744000	1	43	change	12	0.931342096058	0	0	noChange	-114.687407028	114.687407028	901	52	black	blue
2017-04-21 12:11:10.100000	1	44	change	12	0.902786878246	0	0	noChange	37.9311105419	-114.687407028	937	66	yellow	white
2017-04-21 12:11:13.621000	1	45	change	12	1.08960485628	0	0	noChange	-191.443703514	37.9311105419	938	61	green	magenta
2017-04-21 12:11:16.975000	1	46	noChange	12	0.902960539821	1	0	noChange	191.443703514	37.9311105419	930	62	black	black
2017-04-21 12:11:20.433000	1	47	change	12	1.02331540062	0	0	noChange	37.9311105419	191.443703514	935	67	green	white
2017-04-21 12:11:24.909000	1	48	noChange	12	2.0283076577	1	0	noChange	191.443703514	114.687407028	937	63	blue	blue
2017-04-21 12:11:28.150000	1	49	noChange	12	0.800283441964	1	0	noChange	37.9311105419	191.443703514	945	75	white	white
2017-04-21 12:11:31.904000	1	50	noChange	12	1.32265868891	1	0	noChange	-37.9311105419	-37.9311105419	944	71	blue	blue
2017-04-21 12:11:35.094000	1	51	noChange	12	0.760939858082	1	0	noChange	-191.443703514	-191.443703514	945	71	magenta	magenta
2017-04-21 12:11:38.493000	1	52	noChange	12	0.938180995594	1	0	noChange	-191.443703514	114.687407028	943	73	white	white
2017-04-21 12:11:42.124000	1	53	noChange	12	1.24480985905	0	0	change	-37.9311105419	-114.687407028	-950	99	green	green
