datetime	block	trial	trial_type	setSize	RT	accuracy	timeout	clickedObject	Targ_X	Targ_Y	Click_X	Click_Y	target_start_color	target_end_color
2017-04-21 10:13:45.414000	1	1	noChange	12	1.05261822535	1	0	noChange	191.443703514	191.443703514	887	210	magenta	magenta
2017-04-21 10:13:48.656000	1	2	change	12	0.797333247939	0	0	noChange	-114.687407028	-191.443703514	929	217	green	yellow
2017-04-21 10:13:51.804000	1	3	change	12	0.73602168019	0	0	noChange	-191.443703514	114.687407028	914	215	green	white
2017-04-21 10:13:55.300000	1	4	change	12	1.06137232877	1	0	change	37.9311105419	-114.687407028	-940	289	green	magenta
2017-04-21 10:13:59.153000	1	5	change	12	1.40284558653	1	0	change	-114.687407028	191.443703514	-923	287	magenta	blue
2017-04-21 10:14:02.576000	1	6	noChange	12	0.986158392493	1	0	noChange	114.687407028	114.687407028	893	170	red	red
2017-04-21 10:14:05.768000	1	7	noChange	12	0.781333392452	1	0	noChange	191.443703514	114.687407028	867	154	yellow	yellow
2017-04-21 10:14:09.107000	1	8	noChange	12	0.893219480313	1	0	noChange	114.687407028	-191.443703514	876	159	magenta	magenta
2017-04-21 10:14:12.537000	1	9	change	12	0.988432004309	0	0	noChange	-37.9311105419	114.687407028	901	168	black	green
2017-04-21 10:14:15.905000	1	10	noChange	12	0.928768784599	1	0	noChange	37.9311105419	-191.443703514	876	152	magenta	magenta
2017-04-21 10:14:19.026000	1	11	noChange	12	0.689000858865	1	0	noChange	-191.443703514	191.443703514	888	157	yellow	yellow
2017-04-21 10:14:22.208000	1	12	noChange	12	0.727662112874	1	0	noChange	-37.9311105419	-191.443703514	866	140	red	red
2017-04-21 10:14:25.469000	1	13	change	12	0.814659992807	0	0	noChange	114.687407028	-114.687407028	918	154	black	yellow
2017-04-21 10:14:28.685000	1	14	change	12	0.743938677347	0	0	noChange	191.443703514	-191.443703514	901	149	red	yellow
2017-04-21 10:14:31.860000	1	15	noChange	12	0.761103666517	1	0	noChange	114.687407028	37.9311105419	908	145	blue	blue
2017-04-21 10:14:34.999000	1	16	noChange	12	0.701307018884	1	0	noChange	-114.687407028	114.687407028	906	148	magenta	magenta
2017-04-21 10:14:38.097000	1	17	noChange	12	0.654376517999	1	0	noChange	37.9311105419	-114.687407028	896	142	blue	blue
2017-04-21 10:14:41.171000	1	18	noChange	12	0.63404743958	1	0	noChange	191.443703514	37.9311105419	926	163	red	red
2017-04-21 10:14:44.787000	1	19	noChange	12	1.1613899002	0	0	change	-114.687407028	-37.9311105419	-888	235	yellow	yellow
2017-04-21 10:14:48.233000	1	20	change	12	1.01976786005	0	0	noChange	-114.687407028	-37.9311105419	887	142	green	magenta
2017-04-21 10:14:51.775000	1	21	change	12	1.04762555773	0	0	noChange	191.443703514	114.687407028	885	140	white	black
2017-04-21 10:14:55.576000	1	22	change	12	1.37007815181	1	0	change	37.9311105419	37.9311105419	-873	217	black	yellow
2017-04-21 10:14:59.239000	1	23	change	12	1.26130155039	1	0	change	-37.9311105419	191.443703514	-921	240	white	blue
2017-04-21 10:15:03.458000	1	24	change	12	1.82497828204	1	0	change	191.443703514	-114.687407028	-885	218	yellow	white
2017-04-21 10:15:06.921000	1	25	noChange	12	1.01729513271	1	0	noChange	191.443703514	-114.687407028	911	153	white	white
2017-04-21 10:15:10.307000	1	26	change	12	0.910791322012	0	0	noChange	-37.9311105419	37.9311105419	890	140	red	black
2017-04-21 10:15:13.621000	1	27	change	12	0.849873879821	1	0	change	37.9311105419	-191.443703514	-889	215	red	green
2017-04-21 10:15:17.537000	1	28	noChange	12	1.47032275599	0	0	change	-191.443703514	-37.9311105419	-895	201	magenta	magenta
2017-04-21 10:15:21.192000	1	29	change	12	1.22120379083	0	0	noChange	-114.687407028	37.9311105419	919	149	black	white
2017-04-21 10:15:24.674000	1	30	noChange	12	1.07243658273	1	0	noChange	-114.687407028	191.443703514	904	148	black	black
2017-04-21 10:15:28.580000	1	31	change	12	1.43693293133	0	0	noChange	-191.443703514	-191.443703514	920	153	black	blue
2017-04-21 10:15:32.338000	1	32	change	12	1.32819943739	1	0	change	114.687407028	37.9311105419	-971	250	black	magenta
