"acc","accuracy","all_letters","average_response_time","avg_rt","background","background_color","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_respond","count_LIBRARIES","count_PARAMETERS","count_experiment","count_fixation","count_respond","count_save_data","count_stream_presentation","count_trial_sequence","count_trial_table","datetime","description","disable_garbage_collection","distractor_color","distractor_identity","distractor_letter","distractor_location_x","distractor_location_y","distractor_position","distractor_position_relative_to_target","distractor_present","distractor_size","experiment_file","experiment_path","fixation_dot_color","fixation_period_trial","fixation_periods","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","isi_time","keyboard_backend","letter1","letter10","letter2","letter3","letter4","letter5","letter6","letter7","letter8","letter9","listA","listB","listC","listD","live_row","live_row_trial_table","logfile","mouse_backend","opensesame_codename","opensesame_version","other_letters_color","prep_stream","presentation_time","repeat_cycle","response","response_respond","response_time","response_time_respond","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","stream_font_size","subject_nr","subject_parity","target_letter","target_letter_color","target_position","time_LIBRARIES","time_PARAMETERS","time_experiment","time_fixation","time_respond","time_save_data","time_stream_presentation","time_trial_sequence","time_trial_table","title","total_correct","total_response_time","total_responses","total_stream","trial_cue","trial_type","uniform_coordinates","width","word_total_time"
"undefined","undefined","[u'A', u'B', u'C', u'D', u'E', u'F', u'G', u'H', u'I', u'J']","undefined","undefined","black","white","no","xpyriment","legacy","legacy","0","uniform","undefined","undefined","0","0","0","0","0","0","0","0","0","03/19/19 11:27:50","The main experiment item","yes","green","#","F","100","100","9","-1","Y","50","contingent_blink_RSVP.osexp","C:/Users/nur375/Documents/GitHub/paradigms/contingent_blink","black","500","[500, 700, 1000]","no","mono","no","18","no","white","no","yes","768","45","legacy","A","J","B","C","D","E","F","G","H","I","[u'J', u'G', u'C', u'A', u'D', u'B', u'E', u'I', u'H', u'F']","[u'A', u'J', u'B', u'G', u'I', u'H', u'F', u'D', u'C', u'E']","[u'J', u'B', u'F', u'C', u'D', u'E', u'A', u'G', u'H', u'I']","[u'F', u'H', u'J', u'G', u'B', u'A', u'E', u'D', u'C', u'I']","0","0","C:/Users/nur375/Documents/GitHub/paradigms/contingent_blink/subject-0.csv","xpyriment","Kafkaesque Koffka","3.2.6","gray","[u'J', u'G', u'C', u'A', u'D', u'B', u'E', u'I', u'H', u'F', u'W', u'A', u'J', u'B', u'G', u'I', u'H', u'F', u'D', u'C', u'E', u'J', u'B', u'F', u'C', u'D', u'E', u'A', u'G', u'H', u'I', u'F', u'H', u'J', u'G', u'B', u'A', u'E', u'D', u'C', u'I']","90","0","w","w","841","841","2","legacy","1024","2","48000","-16","experiment","90","0","even","W","green","10","1468","1468","1468","2031","13969","14810","2624","2031","1468","RSVP Lie Project","0","0","0","[u'J', u'G', u'C', u'A', u'D', u'B', u'E', u'I', u'H', u'F', u'A', u'J', u'B', u'G', u'I', u'H', u'F', u'D', u'C', u'E', u'J', u'B', u'F', u'C', u'D', u'E', u'A', u'G', u'H', u'I', u'F', u'H', u'J', u'G', u'B', u'A', u'E', u'D', u'C', u'I']","L","distractor","yes","1024","['0.114584028237', '0.106627638358', '0.104340757345', '0.0968413814379', '0.105697008189', '0.102869800221', '0.105098120658', '0.106647561028', '0.106893273956', '0.108427923252', '0.105911327819', '0.107364475284', '0.105682518974', '0.10294737789', '0.106553682992', '0.105738966539', '0.107491557769', '0.095391554418', '0.106123836297', '0.107193019579', '0.0927840995361', '0.109271919993', '0.0948047412332', '0.106644542441', '0.10705808877', '0.104114967087', '0.106017280199', '0.103523324164', '0.0944681688561', '0.0969120163583', '0.105687046854', '0.1057253829', '0.102871611373', '0.102850783127', '0.094688525659', '0.101391900348', '0.0960490025232', '0.104406864386', '0.10318162019', '0.102146546933', '0.101683495789']"
"undefined","undefined","[u'A', u'B', u'C', u'D', u'E', u'F', u'G', u'H', u'I', u'J']","undefined","undefined","black","white","no","xpyriment","legacy","legacy","0","uniform","undefined","undefined","0","0","0","1","1","1","1","1","0","03/19/19 11:27:50","The main experiment item","yes","red","#","A","100","100","8","-2","Y","50","contingent_blink_RSVP.osexp","C:/Users/nur375/Documents/GitHub/paradigms/contingent_blink","black","500","[500, 700, 1000]","no","mono","no","18","no","white","no","yes","768","45","legacy","A","J","B","C","D","E","F","G","H","I","[u'B', u'G', u'C', u'F', u'J', u'H', u'I', u'E', u'A', u'D']","[u'B', u'A', u'I', u'J', u'C', u'E', u'H', u'G', u'D', u'F']","[u'D', u'I', u'C', u'F', u'G', u'B', u'E', u'J', u'H', u'A']","[u'E', u'B', u'J', u'G', u'F', u'C', u'H', u'A', u'D', u'I']","1","1","C:/Users/nur375/Documents/GitHub/paradigms/contingent_blink/subject-0.csv","xpyriment","Kafkaesque Koffka","3.2.6","gray","[u'B', u'G', u'C', u'F', u'J', u'H', u'I', u'E', u'A', u'D', u'X', u'B', u'A', u'I', u'J', u'C', u'E', u'H', u'G', u'D', u'F', u'D', u'I', u'C', u'F', u'G', u'B', u'E', u'J', u'H', u'A', u'E', u'B', u'J', u'G', u'F', u'C', u'H', u'A', u'D', u'I']","90","0","w","w","820","820","2","legacy","1024","2","48000","-16","experiment","90","0","even","X","green","10","1468","1468","1468","15281","27053","27875","15870","15281","1468","RSVP Lie Project","0","0","0","[u'B', u'G', u'C', u'F', u'J', u'H', u'I', u'E', u'A', u'D', u'B', u'A', u'I', u'J', u'C', u'E', u'H', u'G', u'D', u'F', u'D', u'I', u'C', u'F', u'G', u'B', u'E', u'J', u'H', u'A', u'E', u'B', u'J', u'G', u'F', u'C', u'H', u'A', u'D', u'I']","T","distractor","yes","1024","['0.101998334344', '0.105442843219', '0.10634208009', '0.0932939387692', '0.0955672361431', '0.108154439329', '0.0959844047755', '0.102777431479', '0.0963001489069', '0.105972605122', '0.105888386563', '0.0928010036196', '0.106842561705', '0.0989758238401', '0.0978773602704', '0.103158980792', '0.106733590738', '0.095877546819', '0.105614298923', '0.106315818389', '0.0932546971467', '0.105599809708', '0.10588899028', '0.0980871520211', '0.100985598626', '0.106191452631', '0.0934397364895', '0.109322934102', '0.099172333811', '0.106432335821', '0.107093104372', '0.105201054453', '0.107340628452', '0.095654775147', '0.106551569982', '0.0969391836354', '0.106036599152', '0.105851257951', '0.106354456294', '0.108800718665', '0.10923720625']"
"undefined","undefined","[u'A', u'B', u'C', u'D', u'E', u'F', u'G', u'H', u'I', u'J']","undefined","undefined","black","white","no","xpyriment","legacy","legacy","0","uniform","undefined","undefined","0","0","0","2","2","2","2","2","0","03/19/19 11:27:50","The main experiment item","yes","red","#","S","100","100","10","0","Y","50","contingent_blink_RSVP.osexp","C:/Users/nur375/Documents/GitHub/paradigms/contingent_blink","black","500","[500, 700, 1000]","no","mono","no","18","no","white","no","yes","768","45","legacy","A","J","B","C","D","E","F","G","H","I","[u'J', u'D', u'A', u'E', u'F', u'H', u'G', u'I', u'B', u'C']","[u'C', u'B', u'D', u'I', u'E', u'J', u'F', u'H', u'G', u'A']","[u'E', u'H', u'J', u'F', u'I', u'G', u'C', u'D', u'A', u'B']","[u'B', u'C', u'F', u'E', u'G', u'A', u'J', u'D', u'H', u'I']","2","2","C:/Users/nur375/Documents/GitHub/paradigms/contingent_blink/subject-0.csv","xpyriment","Kafkaesque Koffka","3.2.6","gray","[u'J', u'D', u'A', u'E', u'F', u'H', u'G', u'I', u'B', u'C', u'S', u'C', u'B', u'D', u'I', u'E', u'J', u'F', u'H', u'G', u'A', u'E', u'H', u'J', u'F', u'I', u'G', u'C', u'D', u'A', u'B', u'B', u'C', u'F', u'E', u'G', u'A', u'J', u'D', u'H', u'I']","90","0","s","s","615","615","2","legacy","1024","2","48000","-16","experiment","90","0","even","S","green","10","1468","1468","1468","28325","40153","40769","28922","28324","1468","RSVP Lie Project","0","0","0","[u'J', u'D', u'A', u'E', u'F', u'H', u'G', u'I', u'B', u'C', u'C', u'B', u'D', u'I', u'E', u'J', u'F', u'H', u'G', u'A', u'E', u'H', u'J', u'F', u'I', u'G', u'C', u'D', u'A', u'B', u'B', u'C', u'F', u'E', u'G', u'A', u'J', u'D', u'H', u'I']","T","distractor","yes","1024","['0.100375542327', '0.105764020805', '0.105437409763', '0.0934976933472', '0.105243314661', '0.107449599418', '0.105455219423', '0.102796146714', '0.105551512327', '0.100901078209', '0.0941980053785', '0.0935136918549', '0.105782434182', '0.105876614076', '0.105830731563', '0.104613939409', '0.10652319527', '0.107189397276', '0.107084954188', '0.105715119707', '0.0977665781517', '0.105640258765', '0.102941944434', '0.0928767701368', '0.105598300415', '0.0961483140139', '0.105035635921', '0.103170753279', '0.102355433108', '0.106012148603', '0.095004571649', '0.104931494692', '0.106335741058', '0.0933805721972', '0.10903828141', '0.106293782708', '0.0976748131269', '0.0955593878186', '0.0947253524124', '0.106227977526', '0.106214695746']"
