"Block","acc","accuracy","arrow_condition","average_response_time","avg_rt","background","canvas_backend","clock_backend","color_backend","compensation","congruency","coordinates","correct","correct_Start","correct_instructions","correct_key","correct_mouse_response","count_SOA","count_Start","count_adjust_to_monitor","count_bottom_target","count_cue","count_delay_600ms","count_end_fixation","count_experiment","count_instructions","count_logger","count_mouse_response","count_practice_table","count_randomize_fixation_duration","count_start_fixation","count_top_target","count_trial_flow","count_variables_for_logger_endduration","cue","cue_cat","cue_condition","cursor_roi","cursor_x","cursor_y","datetime","delay_delay_600ms","description","disable_garbage_collection","distance","endfixation","experiment_file","experiment_path","fixation","font_bold","font_family","font_italic","font_size","font_underline","foreground","form_clicks","fullscreen","height","keyboard_backend","live_row","live_row_practice_table","logfile","mouse_backend","opensesame_codename","opensesame_version","position","repeat_cycle","response","response_Start","response_instructions","response_mouse_response","response_time","response_time_Start","response_time_instructions","response_time_mouse_response","round_decimals","sampler_backend","sound_buf_size","sound_channels","sound_freq","sound_sample_size","start","subject_nr","subject_parity","synth_backend","time_SOA","time_Start","time_adjust_to_monitor","time_bottom_target","time_cue","time_delay_600ms","time_end_fixation","time_experiment","time_instructions","time_logger","time_mouse_response","time_practice_table","time_randomize_fixation_duration","time_start_fixation","time_top_target","time_trial_flow","time_variables_for_logger_endduration","title","total_correct","total_response_time","total_responses","transparent_variables","uniform_coordinates","width"
"NA","100","100","incongruentRight","614.655940948","614.655940948","white","psycho","psycho","psycho","0","incongruent","relative","1","NA","undefined","3","1","10","NA","0","10","10","10","10","0","0","10","21","0","10","10","10","10","10","NA","other","center","undefined","191","375","02/25/19 20:50:19","600","Default description","yes","40.0623542614","2126.92389866","ANT.osexp","C:\Users\nar09\Documents\GitHub\ANT","471","no","Arial","no","24","no","black","no","no","768","psycho","10","10","C:/Users/nar09/Documents/GitHub/ANT/subject-0.csv","psycho","Kafkaesque Koffka","3.2.6","bot","0","3","NA","space","3","902.076101339","NA","7412.31296372","902.076101339","2","legacy","1024","2","48000","-16","experiment","0","even","legacy","56604.7881061","NA","1477.97064991","57007.7775578","56501.9074828","60041.1220982","57914.6212284","1475.73235849","1496.93312262","60640.4147424","57008.0932909","8911.02357815","56024.8083699","56027.7017364","48639.5059432","56024.7398189","57914.725335","ANT","11","6761.21535043","11","no","no","1024"
"NA","100","100","congruentRight","609.332647444","609.332647444","white","psycho","psycho","psycho","0","congruent","relative","1","NA","undefined","3","1","11","NA","0","11","11","11","11","0","0","11","23","0","11","11","11","11","11","NA","other","double","undefined","191","375","02/25/19 20:50:19","600","Default description","yes","40.0623542614","2018.22358111","ANT.osexp","C:\Users\nar09\Documents\GitHub\ANT","931","no","Arial","no","24","no","black","no","no","768","psycho","11","11","C:/Users/nar09/Documents/GitHub/ANT/subject-0.csv","psycho","Kafkaesque Koffka","3.2.6","bot","0","3","NA","space","3","550.776418893","NA","7412.31296372","550.776418893","2","legacy","1024","2","48000","-16","experiment","0","even","legacy","61769.7603387","NA","1477.97064991","62173.0669457","61667.1536351","64745.6883948","62727.7226146","1475.73235849","1496.93312262","65344.6809503","62173.3917809","8911.02357815","60729.4318398","60732.3781128","48639.5059432","60729.3277332","62727.7991301","ANT","12","7311.99176932","12","no","no","1024"
"NA","100","100","incongruentRight","624.846958079","624.846958079","white","psycho","psycho","psycho","0","incongruent","relative","1","NA","undefined","3","1","12","NA","0","12","12","12","12","0","0","12","25","0","12","12","12","12","12","NA","other","double","undefined","191","375","02/25/19 20:50:19","600","Default description","yes","40.0623542614","2064.98131429","ANT.osexp","C:\Users\nar09\Documents\GitHub\ANT","624","no","Arial","no","24","no","black","no","no","768","psycho","12","12","C:/Users/nar09/Documents/GitHub/ANT/subject-0.csv","psycho","Kafkaesque Koffka","3.2.6","bot","0","3","NA","space","3","811.018685708","NA","7412.31296372","811.018685708","2","legacy","1024","2","48000","-16","experiment","0","even","legacy","66164.9580103","NA","1477.97064991","66568.4150883","66062.0827915","69456.501086","67391.7024213","1475.73235849","1496.93312262","70055.8821923","66568.6838881","8911.02357815","65431.6034006","65434.6350069","48639.5059432","65431.5439517","67391.8910078","ANT","13","8123.01045503","13","no","no","1024"
"NA","100","100","neutralLeft","631.467265592","631.467265592","white","psycho","psycho","psycho","0","neutral","relative","1","NA","undefined","1","1","13","NA","0","13","13","13","13","0","0","13","27","0","13","13","13","13","13","NA","other","no","undefined","191","375","02/25/19 20:50:19","600","Default description","yes","40.0623542614","1757.46873674","ANT.osexp","C:\Users\nar09\Documents\GitHub\ANT","1025","no","Arial","no","24","no","black","no","no","768","psycho","13","13","C:/Users/nar09/Documents/GitHub/ANT/subject-0.csv","psycho","Kafkaesque Koffka","3.2.6","bot","0","1","NA","space","1","717.531263263","NA","7412.31296372","717.531263263","2","legacy","1024","2","48000","-16","experiment","0","even","legacy","71275.3818095","NA","1477.97064991","71678.558141","71172.4713195","74156.5609331","72399.7928677","1475.73235849","1496.93312262","74755.9537016","71678.7322208","8911.02357815","70141.4811237","70144.3312546","48639.5059432","70141.3869727","72399.9003876","ANT","14","8840.54171829","14","no","no","1024"
"NA","100","100","neutralRight","635.065939855","635.065939855","white","psycho","psycho","psycho","0","neutral","relative","1","NA","undefined","3","1","14","NA","0","14","14","14","14","0","0","14","29","0","14","14","14","14","14","NA","other","double","undefined","191","375","02/25/19 20:50:19","600","Default description","yes","40.0623542614","2376.55262047","ANT.osexp","C:\Users\nar09\Documents\GitHub\ANT","438","no","Arial","no","24","no","black","no","no","768","psycho","14","14","C:/Users/nar09/Documents/GitHub/ANT/subject-0.csv","psycho","Kafkaesque Koffka","3.2.6","top","0","3","NA","space","3","685.44737953","NA","7412.31296372","685.44737953","2","legacy","1024","2","48000","-16","experiment","0","even","legacy","75388.7934105","NA","1477.97064991","71678.558141","75285.7040051","78858.9671603","76481.686629","1475.73235849","1496.93312262","79458.2728889","75792.8594834","8911.02357815","74842.2830857","74845.5038474","75792.5975103","74842.2202235","76481.8095089","ANT","15","9525.98909782","15","no","no","1024"
"NA","100","100","congruentRight","638.075295509","638.075295509","white","psycho","psycho","psycho","0","congruent","relative","1","NA","undefined","3","1","15","NA","0","15","15","15","15","0","0","15","31","0","15","15","15","15","15","NA","other","no","undefined","191","375","02/25/19 20:50:19","600","Default description","yes","40.0623542614","1763.78436968","ANT.osexp","C:\Users\nar09\Documents\GitHub\ANT","1053","no","Arial","no","24","no","black","no","no","768","psycho","15","15","C:/Users/nar09/Documents/GitHub/ANT/subject-0.csv","psycho","Kafkaesque Koffka","3.2.6","bot","0","3","NA","space","3","683.215630323","NA","7412.31296372","683.215630323","2","legacy","1024","2","48000","-16","experiment","0","even","legacy","80706.1822241","NA","1477.97064991","81110.8922787","80602.8834678","83560.6389527","81797.8258792","1475.73235849","1496.93312262","84159.7723081","81111.0919585","8911.02357815","79543.5976161","79546.7475512","75792.5975103","79543.5299184","81797.8967058","ANT","16","10209.2047281","16","no","no","1024"
"NA","100","100","congruentLeft","645.457469602","645.457469602","white","psycho","psycho","psycho","0","congruent","relative","1","NA","undefined","1","1","16","NA","0","16","16","16","16","0","0","16","33","0","16","16","16","16","16","NA","other","no","undefined","191","375","02/25/19 20:50:19","600","Default description","yes","40.0623542614","2308.42774492","ANT.osexp","C:\Users\nar09\Documents\GitHub\ANT","428","no","Arial","no","24","no","black","no","no","768","psycho","16","16","C:/Users/nar09/Documents/GitHub/ANT/subject-0.csv","psycho","Kafkaesque Koffka","3.2.6","top","0","1","NA","space","1","763.572255085","NA","7412.31296372","763.572255085","2","legacy","1024","2","48000","-16","experiment","0","even","legacy","84779.3344461","NA","1477.97064991","81110.8922787","84676.5821071","88258.6186593","85950.1616781","1475.73235849","1496.93312262","88857.6328326","85182.6430441","8911.02357815","84243.5499433","84246.5599318","85182.3745288","84243.4896411","85950.2831358","ANT","17","10972.7769832","17","no","no","1024"
"NA","100","100","neutralLeft","639.224817491","639.224817491","white","psycho","psycho","psycho","0","neutral","relative","1","NA","undefined","1","1","17","NA","0","17","17","17","17","0","0","17","35","0","17","17","17","17","17","NA","other","double","undefined","191","375","02/25/19 20:50:19","600","Default description","yes","40.0623542614","1892.73026839","ANT.osexp","C:\Users\nar09\Documents\GitHub\ANT","1074","no","Arial","no","24","no","black","no","no","768","psycho","17","17","C:/Users/nar09/Documents/GitHub/ANT/subject-0.csv","psycho","Kafkaesque Koffka","3.2.6","bot","0","1","NA","space","1","533.26973161","NA","7412.31296372","533.26973161","2","legacy","1024","2","48000","-16","experiment","0","even","legacy","90128.0106997","NA","1477.97064991","90530.7037605","90025.277134","92960.2944339","91068.0026442","1475.73235849","1496.93312262","93561.1660278","90530.9611825","8911.02357815","88944.949807","88947.8246845","85182.3745288","88944.8695937","91068.1508396","ANT","18","11506.0467148","18","no","no","1024"
"NA","94.7368421053","94.7368421053","neutralRight","619.609220974","619.609220974","white","psycho","psycho","psycho","0","neutral","relative","0","NA","undefined","3","0","18","NA","0","18","18","18","18","0","0","18","37","0","18","18","18","18","18","NA","other","center","undefined","190","378","02/25/19 20:50:19","600","Default description","yes","40.0623542614","1655.47151633","ANT.osexp","C:\Users\nar09\Documents\GitHub\ANT","1578","no","Arial","no","24","no","black","no","no","768","psycho","18","18","C:/Users/nar09/Documents/GitHub/ANT/subject-0.csv","psycho","Kafkaesque Koffka","3.2.6","top","0","1","NA","space","1","266.528483673","NA","7412.31296372","266.528483673","2","legacy","1024","2","48000","-16","experiment","0","even","legacy","95338.1458448","NA","1477.97064991","90530.7037605","95235.262377","97666.445938","96011.7947633","1475.73235849","1496.93312262","98265.410618","95741.6945138","8911.02357815","93650.3344495","93653.247727","95741.3887362","93650.2519607","96011.905981","ANT","18","11772.5751985","19","no","no","1024"
"NA","95","95","incongruentLeft","628.456964161","628.456964161","white","psycho","psycho","psycho","0","incongruent","relative","1","NA","undefined","1","1","19","NA","0","19","19","19","19","0","0","19","39","0","19","19","19","19","19","NA","other","double","undefined","187","368","02/25/19 20:50:19","600","Default description","yes","40.0623542614","1193.43591529","ANT.osexp","C:\Users\nar09\Documents\GitHub\ANT","1510","no","Arial","no","24","no","black","no","no","768","psycho","19","19","C:/Users/nar09/Documents/GitHub/ANT/subject-0.csv","psycho","Kafkaesque Koffka","3.2.6","top","0","1","NA","space","1","796.56408471","NA","7412.31296372","796.56408471","2","legacy","1024","2","48000","-16","experiment","0","even","legacy","99973.5970359","NA","1477.97064991","90530.7037605","99870.6282348","102370.185071","101177.448524","1475.73235849","1496.93312262","102969.408026","100377.543927","8911.02357815","98353.9996268","98357.452495","100377.274274","98353.9404624","101177.57624","ANT","19","12569.1392832","20","no","no","1024"
"NA","95.2380952381","95.2380952381","neutralLeft","624.009666877","624.009666877","white","psycho","psycho","psycho","0","neutral","relative","1","NA","undefined","1","1","20","NA","0","20","20","20","20","0","0","20","41","0","20","20","20","20","20","NA","spatial","spatialBot","undefined","187","368","02/25/19 20:50:19","600","Default description","yes","40.0623542614","2463.93627881","ANT.osexp","C:\Users\nar09\Documents\GitHub\ANT","501","no","Arial","no","24","no","black","no","no","768","psycho","20","20","C:/Users/nar09/Documents/GitHub/ANT/subject-0.csv","psycho","Kafkaesque Koffka","3.2.6","bot","0","1","NA","space","1","535.06372119","NA","7412.31296372","535.06372119","2","legacy","1024","2","48000","-16","experiment","0","even","legacy","103665.615076","NA","1477.97064991","104068.851426","103562.541316","107071.537717","104607.505117","1475.73235849","1496.93312262","107670.981116","104069.077274","8911.02357815","103055.543988","103058.536341","100377.274274","103055.485677","104607.580779","ANT","20","13104.2030044","21","no","no","1024"
"NA","95.4545454545","95.4545454545","incongruentRight","622.008823563","622.008823563","white","psycho","psycho","psycho","0","incongruent","relative","1","NA","undefined","3","1","21","NA","0","21","21","21","21","0","0","21","43","0","21","21","21","21","21","NA","other","no","undefined","187","368","02/25/19 20:50:19","600","Default description","yes","40.0623542614","1655.00888604","ANT.osexp","C:\Users\nar09\Documents\GitHub\ANT","1265","no","Arial","no","24","no","black","no","no","768","psycho","21","21","C:/Users/nar09/Documents/GitHub/ANT/subject-0.csv","psycho","Kafkaesque Koffka","3.2.6","bot","0","3","NA","space","3","579.991113963","NA","7412.31296372","579.991113963","2","legacy","1024","2","48000","-16","experiment","0","even","legacy","109132.728776","NA","1477.97064991","109536.020023","109029.62145","111775.576654","110119.874458","1475.73235849","1496.93312262","112374.615289","109536.266351","8911.02357815","107759.321805","107761.969412","100377.274274","107759.256668","110120.048253","ANT","21","13684.1941184","22","no","no","1024"
"NA","95.652173913","95.652173913","neutralLeft","613.773315087","613.773315087","white","psycho","psycho","psycho","0","neutral","relative","1","NA","undefined","1","1","22","NA","0","22","22","22","22","0","0","22","45","0","22","22","22","22","22","NA","other","center","undefined","187","368","02/25/19 20:50:19","600","Default description","yes","40.0623542614","2503.40787137","ANT.osexp","C:\Users\nar09\Documents\GitHub\ANT","564","no","Arial","no","24","no","black","no","no","768","psycho","22","22","C:/Users/nar09/Documents/GitHub/ANT/subject-0.csv","psycho","Kafkaesque Koffka","3.2.6","bot","0","1","NA","space","1","432.592128633","NA","7412.31296372","432.592128633","2","legacy","1024","2","48000","-16","experiment","0","even","legacy","113133.805966","NA","1477.97064991","113537.340128","113030.355316","116477.564748","113974.495026","1475.73235849","1496.93312262","117076.338282","113537.595559","8911.02357815","112460.772016","112463.954662","100377.274274","112460.712282","113974.574386","ANT","22","14116.786247","23","no","no","1024"
"NA","95.8333333333","95.8333333333","incongruentLeft","625.344616002","625.344616002","white","psycho","psycho","psycho","0","incongruent","relative","1","NA","undefined","1","1","23","NA","0","23","23","23","23","0","0","23","47","0","23","23","23","23","23","NA","other","no","undefined","189","373","02/25/19 20:50:19","600","Default description","yes","40.0623542614","1654.51546296","ANT.osexp","C:\Users\nar09\Documents\GitHub\ANT","954","no","Arial","no","24","no","black","no","no","768","psycho","23","23","C:/Users/nar09/Documents/GitHub/ANT/subject-0.csv","psycho","Kafkaesque Koffka","3.2.6","top","0","1","NA","space","1","891.484537045","NA","7412.31296372","891.484537045","2","legacy","1024","2","48000","-16","experiment","0","even","legacy","118226.176376","NA","1477.97064991","113537.340128","118123.358046","121180.205926","119525.746182","1475.73235849","1496.93312262","121780.029059","118630.683337","8911.02357815","117163.157194","117166.179414","118630.466306","117163.097176","119525.869916","ANT","23","15008.2707841","24","no","no","1024"
